id,name,lat,lon,subway,suburban
694826,"Hauptbahnhof Süd, Hamburg",53.552184,10.009246,True,True
694827,"Hauptbahnhof Nord, Hamburg",53.55409,10.005947,True,True
8002549,Hamburg Hbf,53.553533,10.00636,True,True
8098549,Hamburg Hbf (S-Bahn),53.552823,10.007781,True,True
694785,"Mönckebergstraße, Hamburg",53.551312,10.002019,True,False
694866,"Steinstraße, Hamburg",53.54911,10.006154,True,False
694786,"Meßberg, Hamburg",53.547717,10.000823,True,False
694842,"Lohmühlenstraße, Hamburg",53.556697,10.019098,True,False
694995,"Jungfernstieg, Hamburg",53.553209,9.994701,True,True
694996,"Berliner Tor, Hamburg",53.55338,10.023206,True,True
8000908,Hamburg Berliner Tor,53.552993,10.024653,True,True
8002548,Hamburg Dammtor,53.560841,9.989533,False,True
8003137,Hamburg Jungfernstieg,53.55231,9.993946,True,True
8004266,Hamburg-Hammerbrook,53.546449,10.02371,False,True
694784,"Rathaus, Hamburg",53.550306,9.994099,True,False
694811,"Gänsemarkt (Oper), Hamburg",53.5556,9.986036,True,False
694818,"Rödingsmarkt, Hamburg",53.548166,9.986845,True,False
694825,"Steinstraße (Deichtorplatz) (U), Hamburg",53.548858,10.005857,True,False
895126,"Lübecker Straße, Hamburg",53.560095,10.028788,True,False
8005663,Hamburg Stadthausbrücke,53.549497,9.984391,False,True
694781,"Messehallen (U), Hamburg",53.558036,9.97657,True,False
694819,"Rathausmarkt, Hamburg",53.550369,9.994009,True,False
694828,"Lohmühlenstraße (U), Hamburg",53.556742,10.01935,True,False
694830,"Wartenau, Hamburg",53.56476,10.035512,True,False
694831,"Uhlandstraße, Hamburg",53.564607,10.026802,True,False
694853,"Hammerbrook (Süd) (S), Hamburg",53.545451,10.024806,False,True
694884,"Burgstraße, Hamburg",53.555744,10.041697,True,False
895883,"Überseequartier, Hamburg",53.540355,9.998666,True,False
895975,"Hammerbrook (Nord) (S), Hamburg",53.547708,10.022999,False,True
896022,"Berliner Tor (Beim Strohhause) (S+U), Hamburg",53.553452,10.02308,True,True
8002628,Hamburg Hasselbrook,53.56485,10.056511,False,True
8003519,Hamburg Landwehr,53.56085,10.037139,False,True
8005191,Hamburg-Rothenburgsort,53.538287,10.044457,False,True
8070146,Hamburg-Sternschanze,53.563762,9.965846,True,True
374630,"Gänsemarkt (Valentinskamp) (U), Hamburg",53.555627,9.987096,True,False
692080,"Baumwall (Elbphilharmonie), Hamburg",53.544229,9.981703,True,False
692958,"Mundsburg, Hamburg",53.569426,10.027539,True,False
694780,"Gänsemarkt (U), Hamburg",53.555376,9.98849,True,False
694810,"Stephansplatz (Oper/CCH), Hamburg",53.558549,9.989317,True,False
694881,"Hammer Kirche, Hamburg",53.555609,10.055109,True,False
694886,"Berliner Tor (Bürgerweide) (S+U), Hamburg",53.553038,10.025633,True,True
